source_name,start_time,lat,lon,ch4,co2,n2o,pop_max
Total Raffinerie Mitteldeutschland Spergau Refinery,2021-01-01,51.28805,11.99325,141.7589413,3092058.513,27.07120022,0.7593090391586361
Total Raffinerie Mitteldeutschland Spergau Refinery,2022-01-01,51.28805,11.99325,149.8513396,3268570.617,28.6165767,0.802654672989502
Wilhelmshaven Refinery,2015-01-01,53.54677,8.15151,282.3850793,1983461.578,27.74286037,0.4870736755683292
Wilhelmshaven Refinery,2016-01-01,53.54677,8.15151,283.9152181,1994209.213,27.89318853,0.4897129452880862
Wilhelmshaven Refinery,2017-01-01,53.54677,8.15151,278.9096546,1959050.334,27.40141804,0.48107906772104003
Wilhelmshaven Refinery,2018-01-01,53.54677,8.15151,262.1970933,1841661.967,25.75949611,0.45225230141619055
Wilhelmshaven Refinery,2019-01-01,53.54677,8.15151,263.8433079,1853224.913,25.9212281,0.4550917850094634
Wilhelmshaven Refinery,2020-01-01,53.54677,8.15151,297.8151916,2091842.075,29.25878839,0.5136884018727035
Wilhelmshaven Refinery,2021-01-01,53.54677,8.15151,290.5492966,2040806.716,28.54495212,0.5011557770072678
Wilhelmshaven Refinery,2022-01-01,53.54677,8.15151,307.1354857,2157307.45,30.17445865,0.5297645695067957
